,Integer,Float,String,Date
190,5677,5291.55,GcfJifZaBa,2021-11-26 07:44:39
191,3329,5450.93,FODmuGUXKb,2023-06-27 12:08:50
192,8405,1833.18,rWEMCTZARV,2020-07-01 14:54:50
193,6639,3984.03,lgTPwgdYYa,2023-07-12 21:04:20
194,1889,4661.08,yGfDdePgnR,2022-03-17 22:18:43
195,8816,5092.82,EITcvvqaMW,2022-01-07 03:22:04
196,2822,8676.76,nxBomthpeC,2022-06-08 18:15:26
197,9060,3433.99,FoAvZSUtam,2023-04-08 15:07:28
198,8073,3184.46,WXOmqogyBW,2023-06-30 05:27:01
199,2605,4904.95,jEoENHPyyX,2021-03-17 06:21:50
200,6518,954.07,bJeBbcLghz,2023-02-21 14:36:37
201,7938,5721.86,ktlWumUxvB,2020-09-01 22:36:59
202,7015,4069.36,BBoeumJzsN,2021-03-09 23:48:08
203,3809,4471.45,lBfNsmqwpw,2022-07-06 17:41:20
204,6485,4759.93,ugvYIryehg,2022-05-03 05:27:48
205,3171,81.34,McWtZFAdVz,2020-07-02 20:15:08
206,386,9684.24,lTZZepMQdp,2021-03-08 14:22:23
207,1047,7968.96,FUSSrvrTXD,2023-10-21 07:23:06
208,4408,7701.97,ErUImzcTnG,2021-12-24 01:49:30
209,5693,4474.46,mgclBkkxWy,2023-01-18 16:10:30
210,7594,1144.59,sXJXhyGKbC,2020-01-12 13:36:25
211,5074,1126.91,ZzjErKvvGh,2022-01-10 18:07:34
212,8393,5603.22,VVftMMGtBq,2022-11-01 16:10:50
213,6577,4518.66,KhREcrpYjg,2023-06-03 10:52:48
214,1059,2993.78,TlvzYcfRBj,2021-05-03 14:41:21
215,8456,2235.03,flOqbcQRrp,2021-01-14 14:56:16
216,4524,1718.18,ggAzLhRVEI,2023-06-22 20:49:25
217,7887,6356.19,DLAScaNRfV,2020-05-17 19:44:43
218,8182,7568.16,BdIdHqAGQO,2022-10-19 21:18:15
219,9696,5537.7,mwmJPIyAKP,2020-12-08 03:06:34
220,7383,3917.05,wGHmblEuVw,2023-06-25 13:57:41
221,8648,7270.56,vKdTqqeIaC,2020-05-15 16:44:46
222,4061,7546.07,VERjYPDsAv,2021-09-15 17:05:35
223,3665,7355.96,LAgRZOtiUP,2021-12-05 10:13:06
224,4612,5884.88,ZcsQRFbMto,2022-09-29 13:20:38
225,9480,6875.21,lAoVhYBvfP,2022-04-08 14:30:28
226,1290,2637.07,ZYgDYkFkZP,2020-01-21 02:46:42
227,2987,6239.1,OrwOwqmoLU,2023-05-19 10:08:29
228,4407,2177.68,FLDtVNSfKl,2022-08-17 14:56:39
229,5716,8169.14,aFTMOJLwuB,2023-07-30 07:00:39
230,3047,5980.83,xHaBBpSatY,2023-11-27 10:48:22
231,6519,4714.94,eWNczTPDKy,2023-05-08 23:57:57
232,894,1878.1,oPbRnkyfNc,2023-06-11 22:34:02
233,2961,8878.47,aoBWuIqGbo,2020-05-06 14:17:35
234,3743,2818.22,fhvwOikRhr,2020-06-28 01:29:44
235,3374,7844.31,rcXUYAkOUT,2022-02-19 23:36:47
236,1664,4408.49,BkKbUggmHi,2020-09-29 01:19:16
237,3089,4137.32,xEkjehJpUO,2020-07-02 04:57:28
238,6404,8188.95,eCTgOsiUSU,2023-08-18 10:20:54
239,5966,7065.05,UtPYespkdI,2022-03-31 08:06:28
240,1330,4653.97,vSwZPgSMUC,2020-06-22 18:46:57
241,4275,9159.55,qqQTfkkldE,2023-09-29 01:19:40
242,3026,103.14,zXUWhoQPLO,2021-09-19 16:53:19
243,8641,1390.04,qQoScShGsG,2023-07-12 04:55:22
244,5305,2333.23,ZcLXwrojHh,2020-03-21 01:54:28
245,7517,3040.63,hQiJybkEIu,2021-04-13 12:40:29
246,3401,8350.6,rPODdaCROM,2021-09-07 09:21:54
247,1079,4727.93,XVzoAwTpEF,2023-06-09 08:15:38
248,2467,6110.33,nmzWkatFxk,2022-11-29 19:54:22
249,3254,7534.82,mBUFLYnskr,2021-12-21 19:31:07
250,654,4023.57,cGGoLSsjhe,2022-08-29 21:18:52
251,4117,8760.64,sdvKOJtfYR,2020-05-14 02:29:25
252,2028,4373.53,gEbbAaamSV,2020-09-15 11:13:00
253,3616,7913.28,ZhrjNmIEhe,2023-07-06 06:53:48
254,7758,2335.86,EVAqkAippA,2022-01-03 09:11:23
255,5147,8764.43,gqGGbTCRQA,2020-06-03 22:58:57
256,8423,1995.33,mbRhVEHTij,2022-12-04 09:51:17
257,8583,5594.35,CsmrWlLzqj,2022-04-01 11:55:47
258,3201,3906.11,BNZtCctQmc,2021-12-12 01:54:08
259,2985,7601.03,UgshzRWCHx,2021-11-04 23:25:55
260,4446,7923.46,tcqwdJKuXi,2020-12-13 14:35:44
261,6915,863.56,OXYhGbLQPf,2023-05-06 03:47:31
262,1641,5581.57,vOGUNkHwtF,2022-07-17 11:54:08
263,3140,1507.84,HlUqKdldKc,2022-10-01 23:08:05
264,5548,6308.02,hgDpYYSioX,2023-09-07 12:41:59
265,3875,3797.17,opEyFucdRR,2020-08-04 11:48:10
266,1289,5422.46,KcAkMQaWOk,2022-08-14 04:50:34
267,3739,8576.0,vFyGkyKPPb,2022-12-28 23:48:44
268,5400,5115.36,tnBRoVohtn,2023-04-18 03:32:07
269,5242,7428.73,MMwMkeDErZ,2022-04-26 21:32:58
270,5398,2609.99,gFptpFgLYh,2021-06-13 05:54:34
271,5106,1021.74,jIXNEODldz,2021-08-10 23:34:30
272,7164,7538.48,HREzQMqHJx,2022-03-12 03:43:38
273,4473,1931.01,GnNIdflmpo,2023-07-11 04:17:54
274,9230,4570.11,dkAMObYucb,2021-11-16 03:28:13
275,8483,1478.79,FJUVDqeviN,2022-02-14 23:17:44
276,2598,6033.25,RtSOCJRIsf,2021-03-14 18:32:27
277,4345,7038.4,TEmBFOJqLN,2020-10-06 16:39:00
278,1743,2442.98,znWpudCPFH,2021-10-29 11:44:12
279,7622,7268.56,rMQAHTKSVi,2020-03-22 23:55:58
280,3632,3584.2,RnXVrYywDM,2023-11-15 16:45:00
281,2630,4521.58,pzGyHokqji,2020-05-22 18:59:00
282,2085,6933.75,TiRsFHzhFD,2021-05-15 23:46:16
283,6627,5547.77,NaIaqOfFTL,2022-11-30 04:40:22
284,8198,8806.51,gWhWRqXBuZ,2021-06-01 09:11:00
285,1613,3357.3,LhkniMNTQO,2021-04-14 23:03:39
286,5969,8263.2,jduavGFVOf,2023-11-01 17:34:45
287,4804,6779.64,KsldxOcOsm,2022-04-23 10:50:05
288,7070,2110.71,mCtDBTJopx,2020-05-04 10:54:14
289,3101,4998.86,mpSTLWBmqu,2020-12-08 14:18:15
290,2754,8950.54,MPAXwrPoxs,2020-11-05 11:16:08
291,1703,6216.77,kztoaDWELz,2022-12-19 19:42:06
292,5200,7619.03,smEAdEFaDD,2022-05-16 14:58:01
293,7740,4556.77,PFWYNKphYS,2022-03-20 19:47:45
294,1795,9756.51,ZnLLDyyMVA,2023-02-05 05:53:33
295,3255,5100.78,QrxvVvmdzl,2023-03-29 11:11:31
296,7231,6408.69,NNolLTFqPO,2022-01-02 19:37:33
297,2590,8270.95,dHMwxgyPpe,2023-04-19 23:28:06
298,2903,5083.52,ifdQzfJzTa,2023-03-06 21:03:58
299,6278,7448.5,ECkkGYIimR,2023-03-28 03:33:32
300,4087,7921.1,RgtXbvyjJe,2021-07-21 00:11:51
301,5004,6238.75,tJEULmdrOE,2022-03-01 11:50:57
302,8440,1355.33,iXtlEQzIYh,2022-03-08 09:13:26
303,1156,2296.78,hrOkAsgtYq,2022-05-09 19:08:06
304,1286,4401.35,NEWJAxeHge,2022-02-06 19:28:03
305,3556,4531.01,DDrLewrykM,2023-04-29 10:36:25
306,8718,939.81,wwXxzecLlR,2023-04-06 00:49:34
307,6052,2993.13,hOuZmcVXKv,2020-07-01 02:58:20
308,5377,5138.97,tTxOVjXPKh,2022-08-04 04:45:16
309,8828,835.54,heaEinrcSF,2021-02-03 00:39:44
310,1908,5494.72,IbqkMSBzzM,2022-04-20 09:56:51
311,4589,824.41,ZFQXjYjUkZ,2023-08-26 17:06:19
312,6314,1621.27,BXeoemZiJn,2022-01-19 14:19:58
313,7740,5728.4,FAUCOlrgwm,2021-10-27 02:02:26
314,1753,5547.2,LIuCtngVAE,2022-01-01 18:52:59
315,1682,4071.29,guqQCBhzFO,2022-07-29 16:36:06
316,3727,2448.51,kYfdMmydAE,2023-03-31 02:30:55
317,9860,2080.4,BHbpWBxvfN,2021-12-27 10:34:08
318,3433,4469.57,cRURIcXTPa,2020-12-15 00:43:02
319,5404,4353.07,vfpjBjRtKZ,2022-10-16 12:51:15
320,2723,1953.6,ZetuVKGozf,2021-10-31 22:09:28
321,6445,5558.71,WYaexWTklt,2020-10-27 19:03:51
322,5388,2921.8,ElMYEJLLUN,2020-09-18 22:28:32
323,2982,4674.75,inqMxotESt,2020-08-02 04:48:33
324,7015,1647.32,VrcQxskXOn,2020-04-10 10:53:13
325,4611,5926.94,JBlgkbsWmy,2023-07-08 01:43:59
326,5313,8515.95,xyOUqlIsMu,2021-02-09 11:33:12
327,517,4968.09,PzoyZvBhSM,2021-08-10 04:18:00
328,6427,2747.25,zPWGVRUtDw,2023-05-09 11:52:38
329,8229,6395.09,hSqKLWWTwL,2021-11-26 14:24:03
330,1748,4219.84,NznwQBjBpl,2023-11-17 23:43:21
331,5497,3992.55,hXENTPVIyB,2023-02-06 07:47:02
332,1456,6797.74,dNZMNaErJl,2023-04-06 06:53:29
333,7010,5860.81,mkRGIofpEu,2022-11-05 19:24:45
334,5857,4143.95,bWSMIwCoEZ,2021-08-13 15:04:20
335,3930,9553.78,NGqLgnkYya,2022-11-02 07:36:38
336,6435,3036.65,iBOKvYzBMJ,2020-09-20 11:54:15
337,2344,7018.26,SWMwQGoaqI,2020-08-16 22:37:14
338,7999,6299.2,lRrOwsbcNb,2023-10-11 19:07:17
339,4084,4302.33,hXNrKIgxXp,2020-06-08 14:14:47
340,3409,5098.91,kljZwJoGSJ,2022-07-07 15:00:35
341,3939,6328.07,ODWEltteoY,2020-02-10 23:19:48
342,5887,7978.24,lYiIaBruMY,2022-11-22 22:47:24
343,8055,4947.98,LKdwZqisEq,2023-09-17 00:32:49
344,5402,8177.59,fNrAalzaWj,2022-09-18 19:35:44
345,5877,4094.1,zEEefdKoJR,2023-01-15 01:56:38
346,4027,7528.05,BJIkLkrLQf,2020-11-19 12:15:31
347,7556,6655.95,PWwAmUuWqd,2022-10-07 18:44:10
348,4125,6195.41,PvzjaVXBrL,2020-07-29 02:22:50
349,2513,647.53,ZNQLkZiTwI,2022-08-14 05:44:18
350,5326,2789.27,iONorWqQbY,2022-07-06 03:08:56
351,6241,6131.76,yXRaNhKLLw,2022-02-01 19:52:52
352,3818,4902.65,ZGuvunaDpI,2020-01-02 06:21:49
353,6141,6467.99,xnIxlzvSEn,2023-08-31 05:17:04
354,1861,6899.24,HEPxPVMAnd,2020-11-05 06:02:48
355,5645,7625.19,BOcaYPQgnJ,2020-12-31 00:35:13
356,8449,5528.34,OpYUaMfiVR,2023-02-20 23:53:56
357,6015,7958.63,zYdLvLSOWs,2021-05-08 20:58:31
358,1198,5755.15,kFhDduDpoX,2022-01-18 03:41:13
359,5985,7166.88,NyWGuMeWDp,2023-10-28 14:42:10
360,3644,4261.22,iVsnNqjRfJ,2023-12-08 13:01:02
361,3818,549.55,btJfIWdxeH,2023-11-23 16:56:50
362,2207,8550.43,GDbidbrJSA,2020-04-08 04:01:33
363,8052,4608.41,nubMSKYZJF,2023-09-04 17:23:49
364,5353,890.93,zQtuVuIViY,2020-06-09 01:40:49
365,3393,2948.83,nKagWqJfxw,2023-02-07 15:24:36
366,6712,3336.75,oHybWFIDsA,2022-08-06 03:50:15
367,8112,3812.67,GlgOOExJgm,2021-05-13 10:25:03
368,1698,6290.62,ZqxeqQTYmf,2021-05-17 06:29:13
369,4633,3955.43,JNeNKcASCe,2023-11-08 16:28:16
370,5017,7092.74,FRFpwbxOqm,2022-11-28 21:39:24
371,8676,1012.23,dPwriVNKIp,2023-08-18 18:17:40
372,4650,676.86,SmTqKbiqZw,2020-04-27 04:21:39
373,7593,5820.36,mFJCPDwoOO,2020-07-27 17:48:09
374,4612,9491.44,zOYYTCKntz,2021-11-24 22:03:46
375,2619,2131.12,WnywHMucbm,2023-02-22 14:09:39
376,7035,842.52,aBdNJtcfbm,2020-03-29 05:17:44
377,4524,7630.76,ZxsEltukOT,2022-02-14 14:01:02
378,8581,3261.13,ZsNvimJdQw,2020-11-17 20:42:42
379,5061,5898.81,kUOUEgOBfC,2023-03-23 19:37:15
380,839,8701.71,HfDMpCwlgE,2020-06-23 02:01:13
381,2576,4729.8,uGuUpwMMbk,2022-03-21 23:30:42
382,961,7508.44,LDJljcwetA,2020-11-17 05:08:39
383,2177,7233.55,vhOYkgBEmq,2021-10-15 16:02:18
384,1030,8045.99,KdmkzGwZMA,2023-12-16 14:35:18
385,5355,6114.44,RDOmUePWaj,2020-05-30 15:34:04
386,4815,7234.5,buWHPDMuVY,2021-09-12 19:50:19
387,1845,2744.03,APQkSOgCMq,2020-05-11 07:04:27
388,2221,6560.88,UEFYHIFBLl,2022-11-09 04:15:25
389,3559,7504.27,ILeXqPpPDt,2022-12-20 08:27:11
390,6357,5087.04,POyTpcaZwe,2021-05-13 10:22:52
391,6563,7381.33,LuKlcTUXEu,2021-08-09 18:41:12
392,5214,4217.57,TYgspGeqKx,2021-09-04 18:47:03
393,7353,7351.43,GwGQOXRpoU,2021-12-15 21:28:52
394,2563,3717.02,wnobJgUgoN,2023-04-20 06:57:08
395,8070,6764.64,YAYtRofXEf,2023-05-07 10:49:24
396,6323,5422.18,VJOUaYPWcY,2023-08-02 04:34:59
397,8647,6367.23,wojQtiwphE,2023-10-14 01:32:37
398,8983,1826.77,WcLTlhrVgp,2020-04-20 03:32:34
399,2992,2460.26,twuzNWaqHK,2021-08-10 18:29:57
400,6462,2550.7,hWGZDXffvd,2021-09-17 12:27:10
401,8127,5648.8,wkubPoIoCQ,2021-12-04 11:06:04
402,2382,8297.63,UfqxAFjlyu,2023-09-28 18:32:56
403,6919,7193.81,enjnMTigvE,2022-04-16 18:14:22
404,1606,320.42,wcPOQTzZuc,2020-09-07 01:26:27
405,9245,3908.29,VJIwrrReWp,2020-10-24 03:55:08
406,2855,1959.59,yqOCHYfpmm,2022-08-01 08:07:01
407,4941,4808.95,TCMsfkSitm,2022-03-20 19:00:04
408,3202,1373.19,RhDpnNznQe,2021-03-14 13:51:17
409,1361,5388.33,BJYlIziCGD,2020-07-15 16:44:38
410,2130,8621.34,ClIVvPhyHQ,2022-06-21 17:14:41
411,5688,2610.79,QTkSyHQLus,2022-10-29 18:59:22
412,6498,1001.5,zpbcbrDKYj,2020-11-16 02:02:39
413,6283,2846.66,nrCtjRjShs,2020-05-16 19:28:43
414,4126,4190.3,ARPqSSTlKZ,2021-11-25 14:33:51
415,50,5671.94,VRRKdmyCul,2023-11-25 04:33:29
416,8456,5818.35,utNlMGoHdF,2022-11-19 19:45:11
417,4683,3760.13,KMaExzWTnp,2021-09-26 01:08:16
